label,labelshort,from,to,fromh,toh,median
Baildon,Baildon,0,77,26,48,37
Mariacka,Mariacka,0,65,22,40,30
Muchowiec,Muchowiec,10,90,40,60,52
Park Śląski,Park Śląski,11,93,42,63,54
plac Grunwaldzki,pl.Grunwaldzki,0,73,24,46,35
plac Rady Europy,pl.Rady E-py,1,68,27,44,35
plac Rostka,pl.Rostka,0,59,20,36,27
plac Sejmu Śląskiego,pl.Sejmu Śl.,0,64,23,40,31
plac Wolności,pl.Wolności,0,60,19,35,26
Raciborska,Raciborska,0,67,24,42,31
rondo Ziętka,rondo Ziętka,0,73,21,42,31
Rynek,Rynek,0,66,20,38,28
Strefa Kultury,Strefa Kult.,0,81,24,50,33
Trzy Stawy,Trzy Stawy,6,76,33,50,42
