label,labelshort,problematyczny,wymagający,standardowy,komfortowy,total
Baildon,Baildon,NA,567,1587,3967,6121
Mariacka,Mariacka,NA,588,2203,3330,6121
Muchowiec,Muchowiec,NA,120,1546,4455,6121
Park Śląski,Park Śląski,13,1224,1884,3000,6121
plac Grunwaldzki,pl.Grunwaldzki,NA,675,1791,3655,6121
plac Rady Europy,pl.Rady E-py,NA,377,1963,3781,6121
plac Rostka,pl.Rostka,NA,28,869,5224,6121
plac Sejmu Śląskiego,pl.Sejmu Śl.,NA,132,1512,4477,6121
plac Wolności,pl.Wolności,NA,192,1266,4663,6121
Raciborska,Raciborska,NA,121,1256,4744,6121
rondo Ziętka,rondo Ziętka,NA,148,1563,4410,6121
Rynek,Rynek,3,879,1922,3317,6121
Strefa Kultury,Strefa Kult.,NA,314,1829,3978,6121
Trzy Stawy,Trzy Stawy,NA,6,1026,5089,6121
