label,labelshort,problematyczny,wymagający,standardowy,komfortowy,total
Baildon,Baildon,354,2699,2587,481,6121
Mariacka,Mariacka,52,1893,3363,813,6121
Muchowiec,Muchowiec,1852,3038,1168,63,6121
Park Śląski,Park Śląski,2252,2759,1011,99,6121
plac Grunwaldzki,pl.Grunwaldzki,229,2554,2417,921,6121
plac Rady Europy,pl.Rady E-py,169,2428,3075,449,6121
plac Rostka,pl.Rostka,8,1379,3798,936,6121
plac Sejmu Śląskiego,pl.Sejmu Śl.,49,1962,3523,587,6121
plac Wolności,pl.Wolności,11,1236,3664,1210,6121
Raciborska,Raciborska,50,2128,3486,457,6121
rondo Ziętka,rondo Ziętka,151,2100,2895,975,6121
Rynek,Rynek,52,1665,3295,1109,6121
Strefa Kultury,Strefa Kult.,806,1884,2793,638,6121
Trzy Stawy,Trzy Stawy,560,3470,1828,263,6121
