label,labelshort,from,to,fromh,toh,median
Baildon,Baildon,7,36,16,25,20
Mariacka Street,Mariacka St.,11,35,20,26,22
Muchowiec Park,Muchowiec Pk,11,31,18,23,21
Silesian Park,Silesian Pk,11,38,20,28,23
Grunwaldzki Square,Grunwaldzki Sq.,7,36,17,26,21
Rady Europy Square,Rady E-py Sq.,9,34,19,25,21
Rostek Square,Rostek Sq.,9,29,16,21,19
Sejmu Śląskiego Square,Sejmu Śl. Sq.,10,31,18,23,21
Wolności Square,Wolności Sq.,7,33,16,23,19
Raciborska Street,Raciborska St.,10,30,18,23,20
Ziętek Roundabout,Ziętek Rbt,8,33,15,23,18
Main Square,Main Sq.,9,37,20,27,22
Culture Zone,Culture Zone,8,34,15,25,19
Trzy Stawy Park,Trzy Stawy Pk,9,29,15,22,18
