label,labelshort,from,to,fromh,toh,median
Baildon,Baildon,0,77,26,48,37
Mariacka Street,Mariacka St.,0,65,22,40,30
Muchowiec Park,Muchowiec Pk,10,90,40,60,52
Silesian Park,Silesian Pk,11,93,42,63,54
Grunwaldzki Square,Grunwaldzki Sq.,0,73,24,46,35
Rady Europy Square,Rady E-py Sq.,1,68,27,44,35
Rostek Square,Rostek Sq.,0,59,20,36,27
Sejmu Śląskiego Square,Sejmu Śl. Sq.,0,64,23,40,31
Wolności Square,Wolności Sq.,0,60,19,35,26
Raciborska Street,Raciborska St.,0,67,24,42,31
Ziętek Roundabout,Ziętek Rbt,0,73,21,42,31
Main Square,Main Sq.,0,66,20,38,28
Culture Zone,Culture Zone,0,81,24,50,33
Trzy Stawy Park,Trzy Stawy Pk,6,76,33,50,42
