label,labelshort,Katowice,metropolitan area,Poland,total
Ars Independent Fest.,Ars Independ.,111,127,47,285
Other events,Other,33,22,4,59
Intel Extreme Masters,Intel EM,41,162,238,441
Interpretacje Festival,Interpretacje,21,24,11,56
JazzArt Festival,JazzArt,39,41,14,94
Summer Theatre,Summer Theatre,31,51,8,90
Silesian Museum,Silesian Museum,80,138,100,318
NOSPR Orchestra,NOSPR,58,64,62,184
OFF Festival,OFF Festival,25,17,213,255
Regiofun Film Festival,Regiofun Fest.,45,36,7,88
Silesia Bazaar,SilesiaBazaar,17,25,11,53
Studio Cinemas,Studio Cinemas,66,75,5,146
Silesian Jazz Festival,Silesian Jazz,38,39,14,91
Wilson Shaft Gallery,Wilson Gallery,26,36,15,77
Tauron Nowa Muzyka,Tauron Fest.,66,90,243,399
Silesian Theatre,Silesian Theatre,79,118,34,231
Exhibitions,Exhibitions,27,19,5,51
