label,n,total,percent
Śródmieście,1030,28159,3.66
Osiedle Paderewskiego - Muchowiec,131,11111,1.18
Zawodzie,136,11826,1.15
Bogucice,159,14167,1.12
Osiedle Witosa,131,12285,1.07
Wełnowiec - Józefowiec,152,14316,1.06
Brynów - Cz. Wsch. - Osiedle Zgrzebnioka,59,6602,0.89
Koszutka,95,10774,0.88
Załęże,74,9661,0.77
Piotrowice - Ochojec,160,23229,0.69
Szopienice - Burowiec,100,14547,0.69
Dąb,48,7401,0.65
Zarzecze,16,2520,0.63
Kostuchna,56,10274,0.55
Dąbrówka Mała,28,5160,0.54
Osiedle Tysiąclecia,81,21730,0.37
Ligota - Panewniki,95,29142,0.33
Giszowiec,22,16517,0.13
Janów - Nikiszowiec,10,9858,0.1
Murcki,3,5158,0.06
Załęska  Hałda - Brynów Cz. Zach.,98,14528,0.01
Podlesie,0,6178,0
