label,from,to,fromh,toh,median
Ars Independent,0,100,10,50,20
Inne wydarzenia,0,58,0,25,15
Intel Extreme Masters,0,600,50,300,100
Interpretacje,0,200,20,100,50
JazzArt Festival,0,100,10,50,30
Letni Ogród Teatralny,0,100,0,50,20
Muzeum Śląskie,0,120,0,50,20
NOSPR,0,120,0,50,20
OFF Festival,0,900,200,500,300
Regiofun,0,200,10,100,30
Silesia Bazaar,0,400,50,200,100
Silesia Film,0,100,0,50,20
Silesian Jazz Festival,0,200,5,100,40
Szyb Wilson,0,200,0,100,20
Tauron Nowa Muzyka,0,800,100,400,200
Teatr Śląski,0,200,20,100,50
Wystawy,0,100,0,50,20
