label,labelshort,do 10tys,10-50tys,50-100tys,100-200tys,pow.200tys,total
Ars Independent,Ars Independ.,9,32,46,51,147,285
Inne wydarzenia,Inne,1,4,5,8,41,59
Intel Extreme Masters,Intel,30,133,59,109,109,440
Interpretacje,Interpretacje,NA,3,7,12,34,56
JazzArt Festival,JazzArt,3,10,13,16,52,94
Letni Ogród Teatralny,LOT,3,7,17,26,37,90
Muzeum Śląskie,Muzeum Śl.,20,38,40,77,143,318
NOSPR,NOSPR,18,24,23,45,74,184
OFF Festival,OFF,9,41,15,13,177,255
Regiofun,Regiofun,1,6,10,18,53,88
Silesia Bazaar,SilesiaBazaar,1,8,6,18,20,53
Silesia Film,Kina studyjne,3,11,17,37,78,146
Silesian Jazz Festival,Silesian Jazz,1,8,18,19,45,91
Szyb Wilson,Szyb Wilson,2,8,8,19,40,77
Tauron Nowa Muzyka,Tauron NM,18,38,42,62,237,397
Teatr Śląski,Teatr Śląski,7,22,55,47,100,231
Wystawy,Wystawy,1,1,5,13,31,51
