label,labelshort,Katowice,Metropolia,Polska,total
Ars Independent,Ars Independ.,111,127,47,285
Inne wydarzenia,Inne,33,22,4,59
Intel Extreme Masters,Intel,41,162,238,441
Interpretacje,Interpretacje,21,24,11,56
JazzArt Festival,JazzArt,39,41,14,94
Letni Ogród Teatralny,LOT,31,51,8,90
Muzeum Śląskie,Muzeum Śl.,80,138,100,318
NOSPR,NOSPR,58,64,62,184
OFF Festival,OFF,25,17,213,255
Regiofun,Regiofun,45,36,7,88
Silesia Bazaar,SilesiaBazaar,17,25,11,53
Silesia Film,Kina studyjne,66,75,5,146
Silesian Jazz Festival,Silesian Jazz,38,39,14,91
Szyb Wilson,Szyb Wilson,26,36,15,77
Tauron Nowa Muzyka,Tauron NM,66,90,243,399
Teatr Śląski,Teatr Śląski,79,118,34,231
Wystawy,Wystawy,27,19,5,51
