label,labelshort,from,to,fromh,toh,median
Ars Independent Fest.,Ars Independ.,0,100,10,50,20
Other events,Other,0,58,0,25,15
Intel Extreme Masters,Intel EM,0,600,50,300,100
Interpretacje Festival,Interpretacje,0,200,20,100,50
JazzArt Festival,JazzArt,0,100,10,50,30
Summer Theatre,Summer Theatre,0,100,0,50,20
Silesian Museum,Silesian Museum,0,120,0,50,20
NOSPR Orchestra,NOSPR,0,120,0,50,20
OFF Festival,OFF Festival,0,900,200,500,300
Regiofun Film Festival,Regiofun Fest.,0,200,10,100,30
Silesia Bazaar,SilesiaBazaar,0,400,50,200,100
Studio Cinemas,Studio Cinemas,0,100,0,50,20
Silesian Jazz Festival,Silesian Jazz,0,200,5,100,40
Wilson Shaft Gallery,Wilson Gallery,0,200,0,100,20
Tauron Nowa Muzyka,Tauron Fest.,0,800,100,400,200
Silesian Theatre,Silesian Theatre,0,200,20,100,50
Exhibitions,Exhibitions,0,100,0,50,20
