label,labelshort,from,to,fromh,toh,median
Ars Independent Fest.,Ars Independ.,14,41,21,29,24
Other events,Other,12,66,24,41,28
Intel Extreme Masters,Intel EM,11,32,17,23,20
Interpretacje Festival,Interpretacje,19,62,26,41,30
JazzArt Festival,JazzArt,17,68,26,44,31.5
Summer Theatre,Summer Theatre,12,65,31,46.5,40
Silesian Museum,Silesian Museum,12,66,22,40,27
NOSPR Orchestra,NOSPR,17,81,30,62,50
OFF Festival,OFF Festival,12,48,23,33,27
Regiofun Film Festival,Regiofun Fest.,16,61,23,38,29
Silesia Bazaar,SilesiaBazaar,16,48,27.5,36,30
Studio Cinemas,Studio Cinemas,15,87,25,51,36
Silesian Jazz Festival,Silesian Jazz,13,69,24,42.5,30
Wilson Shaft Gallery,Wilson Gallery,12,75,32,51.5,41
Tauron Nowa Muzyka,Tauron Fest.,12,44,24,32,28
Silesian Theatre,Silesian Theatre,15,78,24,51,34
Exhibitions,Exhibitions,16,61,21,37,27
