label,labelshort,recommendation,can't remember,cultural guide,website,social media,already known,"press, radio, tv","leaflet, poster",other source,total
Ars Independent Fest.,Ars Independ.,137,8,10,42,152,4,19,24,11,407
Other events,Other,24,7,1,NA,37,1,3,2,4,79
Intel Extreme Masters,Intel EM,77,78,2,NA,272,20,16,5,33,503
Interpretacje Festival,Interpretacje,24,7,3,13,26,7,5,4,4,93
JazzArt Festival,JazzArt,35,23,5,NA,31,1,7,10,4,116
Summer Theatre,Summer Theatre,41,28,3,NA,24,4,4,5,2,111
Silesian Museum,Silesian Museum,174,62,3,NA,85,1,12,11,34,382
NOSPR Orchestra,NOSPR,64,34,9,32,16,2,5,6,35,203
OFF Festival,OFF Festival,135,82,2,NA,70,15,26,2,14,346
Regiofun Film Festival,Regiofun Fest.,32,5,4,10,26,5,8,4,4,98
Silesia Bazaar,SilesiaBazaar,24,5,1,NA,41,NA,1,2,1,75
Studio Cinemas,Studio Cinemas,10,NA,1,52,18,NA,3,2,3,89
Silesian Jazz Festival,Silesian Jazz,40,NA,5,18,40,NA,4,4,4,115
Wilson Shaft Gallery,Wilson Gallery,22,17,3,NA,26,7,5,6,9,95
Tauron Nowa Muzyka,Tauron Fest.,148,86,3,NA,153,21,26,3,24,464
Silesian Theatre,Silesian Theatre,54,NA,8,129,48,NA,10,8,3,260
Exhibitions,Exhibitions,19,5,NA,NA,32,1,4,1,6,68
