label,labelshort,inne_zrodlo,social_media,total
Ars Independent,Ars Independ.,49.47,43.16,100
Inne wydarzenia,Inne,31.65,45.57,100
Intel Extreme Masters,Intel,40.04,51.99,100
Interpretacje,Interpretacje,56.32,26.44,100
JazzArt Festival,JazzArt,49.56,23.01,100
Letni Ogród Teatralny,LOT,54.81,15.38,100
Muzeum Śląskie,Muzeum Śl.,58.08,20,100
NOSPR,NOSPR,48.42,7.37,100
OFF Festival,OFF,71.09,17.99,100
Regiofun,Regiofun,45.65,26.09,100
Silesia Bazaar,SilesiaBazaar,28.77,50.68,100
Silesia Film,Kina studyjne,63.75,16.25,100
Silesian Jazz Festival,Silesian Jazz,45.71,33.33,100
Szyb Wilson,Szyb Wilson,40.66,19.78,100
Tauron Nowa Muzyka,Tauron NM,58.22,31.92,100
Teatr Śląski,Teatr Śląski,49.36,15.02,100
Wystawy,Wystawy,39.68,46.03,100
