label,labelshort,brak,podstawowe,średnie,w trakcie studiów,wyższe,total
Ars Independent,Ars Independ.,2,11,55,145,176,389
Inne wydarzenia,Inne,NA,3,17,17,42,79
Intel Extreme Masters,Intel,23,126,206,93,55,503
Interpretacje,Interpretacje,NA,NA,6,15,65,86
JazzArt Festival,JazzArt,NA,3,16,15,82,116
Letni Ogród Teatralny,LOT,NA,2,27,7,75,111
Muzeum Śląskie,Muzeum Śl.,3,37,72,83,187,382
NOSPR,NOSPR,NA,4,34,20,137,195
OFF Festival,OFF,2,7,47,77,213,346
Regiofun,Regiofun,NA,3,22,20,50,95
Silesia Bazaar,SilesiaBazaar,NA,NA,19,5,51,75
Silesia Film,Kina studyjne,NA,7,38,19,85,149
Silesian Jazz Festival,Silesian Jazz,3,3,21,19,59,105
Szyb Wilson,Szyb Wilson,1,4,16,7,67,95
Tauron Nowa Muzyka,Tauron NM,6,5,56,75,308,450
Teatr Śląski,Teatr Śląski,1,8,58,47,136,250
Wystawy,Wystawy,NA,4,21,17,26,68
